Title,Date,Member
全团首播,20/12/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
嘉然 首播,20/12/12,嘉然
嘉然 今天和嘉然一起画画吧~,20/12/15,嘉然
向晚首播 夜之城，我来了！,20/12/16,向晚
A-SOUL小剧场 第一期 小剧场来啦,20/12/19,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
嘉然 今天和嘉然一起画画吧,20/12/20,嘉然
向晚 首播 100连，不中不下播！！！,20/12/23,向晚
贝拉首播 平安夜惊喜在等你,20/12/24,贝拉
A-SOUL小剧场 第二期 陪你过圣诞~,20/12/25,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
向晚 嘉然 首播来了，送礼物，真的送礼物！！！,20/12/26,"向晚, 嘉然"
珈乐 首播 补帧修正版 贾布源,20/12/27,珈乐
嘉然 小作文评选开始啦！,20/12/30,嘉然
我们一起跨年叭~,20/12/31,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
贝拉 新年首播,21/01/02,贝拉
向晚 嘉然 第四次首播！一起挥洒汗水吧！,21/01/03,"向晚, 嘉然"
嘉然 向晚 来和嘉然玩吖~,21/01/06,"向晚, 嘉然"
贝拉舞蹈室 贝拉 向晚,21/01/07,"向晚, 贝拉"
A-SOUL小剧场 第三期 期末应援会,21/01/08,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
乃琳 首播,21/01/09,乃琳
嘉然 一起来玩健身环吖！,21/01/10,嘉然
贝拉 情人节 贝拉日记,21/01/14,贝拉
A-SOUL小剧场 第四期 跟我们一起high起来~,21/01/15,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
乃琳 温柔夜谈,21/01/16,乃琳
嘉然 我又来打游戏啦,21/01/16,嘉然
向晚 吃鸡,21/01/17,向晚
贝拉 突击检查,21/01/21,"乃琳, 向晚, 嘉然, 贝拉"
A-SOUL小剧场 第五期 姐妹睡衣趴！,21/01/22,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
嘉然 贝拉 天下第一宅舞斗会,21/01/23,"嘉然, 贝拉"
乃琳 温柔夜谈,21/01/23,乃琳
向晚 吃鸡 x2,21/01/24,向晚
贝拉的心跳大挑战,21/01/28,贝拉
A-SOUL小剧场 第六期 导演，请指导我们！,21/01/29,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
乃琳 《乃琳说神话》,21/01/30,乃琳
嘉然 我画你猜,21/01/30,嘉然
A-SOUL游戏室 第一期 向晚 乃琳 一起来快乐的打游戏吧！,21/01/31,"乃琳, 向晚"
贝拉 乃琳 贝拉舞蹈室,21/02/04,"乃琳, 贝拉"
A-SOUL小剧场 第七期 一起来过小年夜！,21/02/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
嘉然 向晚 出大事了啊啊啊！！！,21/02/06,"向晚, 嘉然"
乃琳 《乃琳说神话》之二,21/02/06,乃琳
珈乐 新年快乐~,21/02/14,珈乐
向晚 Happy 新年！聊天杂谈,21/02/14,向晚
嘉然 是新年捏 聊天杂谈,21/02/14,嘉然
乃琳 今天是情人节呢~聊天杂谈,21/02/14,乃琳
贝拉 是新年哟 聊天杂谈,21/02/14,贝拉
向晚 Happy 新年！聊天杂谈,21/02/15,向晚
珈乐 新年快乐~,21/02/15,珈乐
嘉然 我来“抗压”啦～～～,21/02/15,嘉然
乃琳 今天也来聊天吧,21/02/15,乃琳
贝拉 是新年哟 聊天杂谈,21/02/15,贝拉
贝拉 是新年哟 聊天杂谈,21/02/16,贝拉
乃琳 今天也来聊天吧,21/02/16,乃琳
珈乐 春节Happy！,21/02/16,珈乐
嘉然 轻松聊天吧,21/02/16,嘉然
向晚 Happy 新年！聊天杂谈,21/02/16,向晚
乃琳 今天也来聊天吧,21/02/17,乃琳
贝拉 和嘉然一起玩,21/02/17,"嘉然, 贝拉"
珈乐 春节Happy！,21/02/17,珈乐
