Title,Date,Member,StartTime,EndTime,Revenue
全团首播,2020/12/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
嘉然 首播,2020/12/12,嘉然,,,
嘉然 今天和嘉然一起画画吧~,2020/12/15,嘉然,2020-12-15 20:03:51,2020-12-15 22:21:05,4015.9
向晚首播 夜之城，我来了！,2020/12/16,向晚,,,
A-SOUL小剧场 第一期 小剧场来啦,2020/12/19,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2020-12-19 19:58:09,2020-12-19 22:06:05,860.9
嘉然 今天和嘉然一起画画吧,2020/12/20,嘉然,2020-12-20 19:58:41,2020-12-20 22:17:46,8235.6
向晚 首播 100连，不中不下播！！！,2020/12/23,向晚,,,
贝拉首播 平安夜惊喜在等你,2020/12/24,贝拉,,,
A-SOUL小剧场 第二期 陪你过圣诞~,2020/12/25,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2020-12-25 19:54:20,2020-12-25 22:08:23,2177.9
向晚 嘉然 首播来了，送礼物，真的送礼物！！！,2020/12/26,"向晚, 嘉然",,,
珈乐 首播 补帧修正版 贾布源,2020/12/27,珈乐,,,
嘉然 小作文评选开始啦！,2020/12/30,嘉然,2020-12-30 19:58:51,2020-12-30 22:10:08,21448.7
我们一起跨年叭~,2020/12/31,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2020-12-31 19:50:50,2021-01-01 00:17:01,5847.4
贝拉 新年首播,2021/01/02,贝拉,,,
向晚 嘉然 第四次首播！一起挥洒汗水吧！,2021/01/03,"向晚, 嘉然",,,
嘉然 向晚 来和嘉然玩吖~,2021/01/06,"向晚, 嘉然",2021-01-06 20:31:08,2021-01-06 22:47:19,7588.7
贝拉舞蹈室 贝拉 向晚,2021/01/07,"向晚, 贝拉",,,
A-SOUL小剧场 第三期 期末应援会,2021/01/08,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-01-08 19:55:04,2021-01-08 22:09:50,2610.9
乃琳 首播,2021/01/09,乃琳,2021-01-09 21:51:10,2021-01-10 00:05:18,4389.1
嘉然 一起来玩健身环吖！,2021/01/10,嘉然,2021-01-10 19:53:39,2021-01-10 22:10:43,10892.1
贝拉 情人节 贝拉日记,2021/01/14,贝拉,,,
A-SOUL小剧场 第四期 跟我们一起high起来~,2021/01/15,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-01-15 19:51:49,2021-01-15 22:15:41,654.2
乃琳 温柔夜谈,2021/01/16,乃琳,2021-01-16 22:06:25,2021-01-17 00:21:51,1852.1
嘉然 我又来打游戏啦,2021/01/16,嘉然,2021-01-16 19:39:07,2021-01-16 21:51:34,6763.0
向晚 吃鸡,2021/01/17,向晚,,,
贝拉 突击检查,2021/01/21,"乃琳, 向晚, 嘉然, 贝拉",,,
A-SOUL小剧场 第五期 姐妹睡衣趴！,2021/01/22,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-01-22 19:50:47,2021-01-22 22:16:12,2503.3
嘉然 贝拉 天下第一宅舞斗会,2021/01/23,"嘉然, 贝拉",2021-01-23 19:43:14,2021-01-23 21:34:04,5792.5
乃琳 温柔夜谈,2021/01/23,乃琳,2021-01-23 22:10:36,2021-01-24 00:30:14,3455.1
向晚 吃鸡 x2,2021/01/24,向晚,,,
贝拉的心跳大挑战,2021/01/28,贝拉,,,
A-SOUL小剧场 第六期 导演，请指导我们！,2021/01/29,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-01-29 19:50:16,2021-01-29 22:14:15,3253.4
乃琳 《乃琳说神话》,2021/01/30,乃琳,2021-01-30 22:05:32,2021-01-31 00:24:04,11387.9
嘉然 我画你猜,2021/01/30,嘉然,2021-01-30 19:38:47,2021-01-30 21:54:33,26861.0
A-SOUL游戏室 第一期 向晚 乃琳 一起来快乐的打游戏吧！,2021/01/31,"乃琳, 向晚",,,
贝拉 乃琳 贝拉舞蹈室,2021/02/04,"乃琳, 贝拉",,,
A-SOUL小剧场 第七期 一起来过小年夜！,2021/02/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-02-05 19:50:28,2021-02-05 22:26:54,29021.3
嘉然 向晚 出大事了啊啊啊！！！,2021/02/06,"向晚, 嘉然",2021-02-06 19:43:00,2021-02-06 21:46:07,35478.1
乃琳 《乃琳说神话》之二,2021/02/06,乃琳,2021-02-07 00:25:19,2021-02-07 00:25:19,8850.1
珈乐 新年快乐~,2021/02/14,珈乐,,,
向晚 Happy 新年！聊天杂谈,2021/02/14,向晚,,,
乃琳 今天是情人节呢~聊天杂谈,2021/02/14,乃琳,2021-02-14 21:45:15,2021-02-14 22:52:57,14291.9
嘉然 是新年捏 聊天杂谈,2021/02/14,嘉然,2021-02-14 20:19:41,2021-02-14 21:43:29,58446.7
贝拉 是新年哟 聊天杂谈,2021/02/14,贝拉,,,
向晚 Happy 新年！聊天杂谈,2021/02/15,向晚,,,
珈乐 新年快乐~,2021/02/15,珈乐,,,
嘉然 我来“抗压”啦～～～,2021/02/15,嘉然,2021-02-15 20:29:27,2021-02-15 21:36:59,12674.2
乃琳 今天也来聊天吧,2021/02/15,乃琳,2021-02-15 21:44:07,2021-02-15 22:50:07,6344.8
贝拉 是新年哟 聊天杂谈,2021/02/15,贝拉,,,
珈乐 春节Happy！,2021/02/16,珈乐,,,
贝拉 是新年哟 聊天杂谈,2021/02/16,贝拉,,,
乃琳 今天也来聊天吧,2021/02/16,乃琳,2021-02-16 22:04:48,2021-02-16 23:06:16,5558.1
嘉然 轻松聊天吧,2021/02/16,嘉然,2021-02-16 20:41:09,2021-02-16 21:53:02,25960.2
向晚 Happy 新年！聊天杂谈,2021/02/16,向晚,,,
乃琳 今天也来聊天吧,2021/02/17,乃琳,2021-02-17 20:25:51,2021-02-17 21:35:41,4094.1
贝拉 和嘉然一起玩,2021/02/17,"嘉然, 贝拉",2021-02-17 18:01:42,2021-02-17 20:22:20,"11,192.8‬"
珈乐 春节Happy！,2021/02/17,珈乐,,,
A-SOUL小剧场 第八期 燃烧吧！卡路里！,2021/02/20,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-02-20 19:50:15,2021-02-20 22:09:17,27085.6
珈乐 王力口乐的假期日常,2021/02/24,珈乐,,,
乃琳 那些小时候无法理解的过年习俗,2021/02/24,乃琳,2021-02-24 21:10:19,2021-02-24 22:18:34,10222.4
贝拉 贝拉来啦~,2021/02/25,贝拉,,,
嘉然 和嘉然一起玩耍,2021/02/25,嘉然,2021-02-25 21:00:06,2021-02-25 22:23:34,28139.0
A-SOUL小剧场 第九期 尬活大赏！,2021/02/26,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-02-26 19:50:57,2021-02-26 22:30:07,9536.6
A-SOUL夜谈 第一期 大聪明评选,2021/02/27,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-03-05 19:50:17,2021-03-05 22:15:07,4692.0
A-SOUL游戏室 第二期 嘉然 和向晚一起玩Phogs,2021/02/28,"向晚, 嘉然",2021-02-28 19:50:16,2021-02-28 22:13:07,19733.9
珈乐 一起给嘉然挑个礼物吧,2021/03/03,珈乐,,,
嘉然 然然来了,2021/03/03,嘉然,2021-03-03 21:10:11,2021-03-03 22:18:58,13756.1
向晚 兄弟们想我了吗！,2021/03/03,向晚,,,
嘉然 然然来画画了,2021/03/04,嘉然,2021-03-04 21:10:29,2021-03-04 22:19:57,10250.6
乃琳 那些年被鸽过的我们,2021/03/04,乃琳,2021-03-04 18:50:15,2021-03-04 19:55:21,11452.0
贝拉 细说练武,2021/03/04,贝拉,,,
A-SOUL小剧场 第十期 新学期晚会,2021/03/05,"向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 第二期 夜谈会来喽,2021/03/06,"向晚, 嘉然, 珈乐, 贝拉",2021-03-06 19:50:53,2021-03-06 22:10:24,3432.1
嘉然 来和嘉然过生日吖,2021/03/07,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-03-07 19:50:26,2021-03-07 22:35:40,246207.3
珈乐 《我要你》陪我练歌,2021/03/10,珈乐,,,
向晚 一起练练琴,2021/03/10,向晚,,,
乃琳 天使姐姐不拔枪,2021/03/11,嘉然,2021-03-11 21:14:44,2021-03-11 22:20:11,18526.3
嘉然 我又来画画了！,2021/03/11,乃琳,2021-03-11 18:50:28,2021-03-11 19:53:09,8241.8
贝拉 我来扒舞了,2021/03/11,贝拉,,,
A-SOUL小剧场 十一期 告白大作战,2021/03/12,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-03-12 19:58:46,2021-03-12 22:14:34,5417.7
A-SOUL游戏室 第三期 向晚 乃琳 小小梦魇2,2021/03/13,"乃琳, 向晚",,,
A-SOUL夜谈 第三期 白色情人节,2021/03/14,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-03-14 19:49:56,2021-03-14 22:07:09,8077.1
向晚 珈乐 测试直播,2021/03/17,"向晚, 珈乐",,,
珈乐 民谣~陪我练歌了哦,2021/03/17,珈乐,,,
乃琳 尝试多声线唱歌！,2021/03/17,乃琳,2021-03-17 21:10:23,2021-03-17 22:16:16,14046.2
向晚 弹弹琴聊聊天啦 呜呼~,2021/03/17,向晚,,,
贝拉 今天我来打ff14,2021/03/18,贝拉,,,
嘉然 来和我一起画画吧,2021/03/18,嘉然,2021-03-18 21:13:51,2021-03-18 22:23:19,10962.5
A-SOUL小剧场 十二期 游戏，歌舞会,2021/03/19,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 第四期 夜谈呦~,2021/03/20,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-03-20 19:52:28,2021-03-20 22:14:30,7551.9
向晚 贝拉 嘉然 今天是三人竞技！,2021/03/21,"向晚, 嘉然, 贝拉",,,
向晚 我看我自己 之 表情包鉴赏,2021/03/24,向晚,,,
乃琳 请开发我的粤语歌技能~,2021/03/24,乃琳,2021-03-24 21:09:45,2021-03-24 22:18:26,8504.7
珈乐 Disco 陪我练歌啦,2021/03/24,珈乐,,,
嘉然 和然然一起查重叭,2021/03/25,嘉然,2021-03-25 21:14:32,2021-03-25 22:16:18,12324.6
贝拉 来聊聊广场舞呀！,2021/03/25,贝拉,,,
珈乐 小小小小小歌回,2021/03/25,珈乐,,,
A-SOUL小剧场 十三期 3.26 今天是一日外拍呦~,2021/03/26,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-03-26 19:51:24,2021-03-26 22:21:00,15300.2
A-SOUL夜谈 第五期 一起来聊天呀,2021/03/27,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
愚人节“人生有梦”歌舞会,2021/04/01,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-04-01 19:50:23,2021-04-01 22:06:30,28872.2
A-SOUL小剧场 十四期 月考来袭！,2021/04/02,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
嘉然 美食嘉,2021/04/07,嘉然,2021-04-07 20:00:19,2021-04-07 21:03:51,39204.4
乃琳 绝不上墙卢西奥！,2021/04/07,乃琳,2021-04-07 21:12:31,2021-04-07 22:18:14,12748.5
珈乐 四月 陪我练歌乐！,2021/04/07,珈乐,,,
贝拉  “妈”音披露,2021/04/08,贝拉,,,
向晚 我看我自己之终于（小向晚）,2021/04/08,向晚,,,
A-SOUL小剧场 十五期 春季运动会,2021/04/09,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-04-09 19:53:14,2021-04-09 22:09:16,20050.2
A-SOUL夜谈 第六期 一起来聊聊人生初体验！,2021/04/10,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 第四期 向晚 乃琳 霜月花再续《小小梦魇2》,2021/04/11,"乃琳, 向晚",,,
向晚 我看我自己之 食神小向晚,2021/04/14,向晚,,,
